Landkreis;Hochschul Abschluss;Realschuls Abschluss;Hauptschul Abschluss;Ohne Abschluss
Weimarer Land;26.1;49.5;16.6;7.8
Wartburgkreis;24.2;54.9;12.8;8.2
Unstrut-Hainich-Kreis;29.6;43.8;14.5;12
Stadt Weimar;47.5;34.1;10.2;8.3
Stadt Suhl;27.4;42.2;19;11.4
Stadt Jena;52.8;27.7;14.7;4.8
Stadt Gera;29.3;36.1;20.8;13.7
Stadt Erfurt;38.7;39.6;12.2;9.5
Stadt Eisenach;37.6;40.5;11.4;10.5
Sonneberg;30;44.4;15.5;10.1
Sömmerda;28.5;45.8;17.5;8.2
Schmalkalden-Meiningen;30.2;46.9;13.8;9.2
Saalfeld-Rudolstadt;35.1;44.5;12;8.4
Saale-Orla-Kreis;31;48;13.9;7.1
Saale-Holzland-Kreis;28.5;51.7;14.2;5.7
Nordhausen;26.4;44.6;17.5;11.6
Kyffhäuserkreis;28.3;41.5;20.7;9.5
Ilm-Kreis;30.8;47.3;11.5;10.4
Hildburghausen;17.9;55.1;19.4;7.6
Greiz;29.2;48;13.6;9.2
Gotha;34.1;42.7;14.4;8.8
Eichsfeld;38.4;44.8;10;6.9
Altenburger Land;32.8;43.6;15.6;8
