page,discuss,link,form,sell,entertain,inform
006253,not,not,not,mainly,not,also
001878,mainly,not,not,not,not,not
006712,not,not,not,not,not,mainly
005259,not,not,not,not,not,mainly
007124,mainly,not,not,also,not,also
004526,not,also,not,not,not,mainly
008074,mainly,also,not,not,not,not
006598,not,also,not,not,also,mainly
003062,not,not,not,not,not,mainly
007461,not,also,not,not,not,mainly
002819,not,not,not,not,also,mainly
004047,mainly,not,not,not,also,not
001813,not,not,not,not,also,mainly
009317,not,mainly,not,not,not,also
004341,not,not,not,not,also,mainly
003973,not,not,mainly,not,not,not
002428,not,not,not,not,not,mainly
009333,not,also,not,mainly,not,not
001866,not,also,not,not,mainly,also
005587,not,also,not,not,not,mainly
001518,not,also,not,not,mainly,also
007629,also,not,not,not,mainly,not
001624,also,also,not,not,not,mainly
000295,not,also,not,mainly,not,not
002815,not,not,not,not,not,mainly
002942,not,also,not,mainly,not,also
006587,not,not,not,not,not,mainly
004390,not,also,not,not,not,mainly
007929,not,mainly,not,also,not,also
003472,not,also,not,not,mainly,not
008426,also,also,not,not,mainly,not
001792,not,not,not,mainly,not,not
003073,not,not,not,not,not,mainly
009651,not,not,not,not,mainly,also
001913,mainly,not,also,not,also,not
003143,not,not,also,not,mainly,not
004913,not,not,not,not,not,mainly
007213,not,also,not,not,also,mainly
007223,not,also,not,not,also,mainly
005095,mainly,also,also,also,also,also
003281,also,not,not,not,not,mainly
003280,also,not,not,not,not,mainly
009752,not,not,not,mainly,not,also
005329,not,not,not,mainly,not,also
002487,also,not,not,not,not,mainly
007020,not,also,not,not,also,mainly
004932,not,not,not,mainly,not,also
009114,also,not,not,not,not,mainly
004649,not,not,also,mainly,not,also
006419,mainly,not,not,not,also,also
008684,not,not,not,not,mainly,also
009918,not,not,also,mainly,not,also
007671,not,not,also,mainly,not,also
006846,not,not,mainly,not,not,also
001684,not,not,not,mainly,not,also
009941,not,mainly,not,also,not,also
008162,not,also,not,not,mainly,also
005338,not,not,not,not,not,mainly
007255,not,not,not,not,not,mainly
000823,not,not,not,not,also,mainly
005855,not,not,not,not,also,mainly
004965,not,also,not,not,not,mainly
002785,mainly,not,not,not,not,also
006639,not,not,not,not,not,also
006071,not,not,not,not,not,mainly
009703,not,not,not,mainly,not,also
001311,not,not,also,not,also,mainly
006694,not,not,not,not,not,not
001472,not,not,not,not,not,also
004298,mainly,not,not,not,not,also
007075,not,not,not,mainly,also,also
009742,not,not,not,not,also,mainly
002090,not,also,not,also,not,mainly
005155,not,not,not,mainly,not,also
002180,not,not,not,not,not,mainly
005127,not,not,not,mainly,not,also
000079,also,also,not,not,mainly,also
005014,not,not,not,not,mainly,also
008400,not,not,also,not,not,mainly
008710,mainly,not,not,not,not,also
002680,not,also,not,not,also,mainly
005182,not,not,not,mainly,not,also
005370,mainly,not,also,not,not,also
005782,not,not,also,mainly,not,also
002717,not,not,also,not,not,mainly
004727,not,also,not,not,not,mainly
008288,not,mainly,not,not,not,also
007246,not,not,not,mainly,not,also
006730,not,not,not,not,not,not
005148,not,also,not,not,not,mainly
007340,also,not,not,not,also,mainly
008383,not,also,not,not,mainly,also
007151,not,also,not,not,mainly,not
009728,not,also,not,not,mainly,also
008298,not,not,not,not,mainly,not
006507,not,not,not,not,mainly,also
003439,not,also,also,also,not,mainly
006182,not,also,not,not,mainly,also
004217,not,also,not,not,not,mainly
001422,not,not,not,not,mainly,not
